date,concentration
2016-07-19 00:00:00,60
2016-07-18 23:00:00,66
2016-07-18 22:00:00,98
2016-07-18 21:00:00,115
2016-07-18 20:00:00,107
2016-07-18 19:00:00,94
2016-07-18 18:00:00,87
2016-07-18 17:00:00,95
2016-07-18 16:00:00,79
2016-07-18 15:00:00,82
2016-07-18 14:00:00,90
2016-07-18 13:00:00,80
2016-07-18 12:00:00,76
2016-07-18 11:00:00,68
2016-07-18 10:00:00,63
2016-07-18 09:00:00,70
2016-07-18 08:00:00,72
2016-07-18 07:00:00,80
2016-07-18 06:00:00,92
2016-07-18 05:00:00,83
2016-07-18 04:00:00,77
2016-07-18 03:00:00,87
2016-07-18 02:00:00,115
2016-07-18 01:00:00,125
