date,concentration
2016-07-19 00:00:00,28
2016-07-18 23:00:00,27
2016-07-18 22:00:00,29
2016-07-18 21:00:00,17
2016-07-18 20:00:00,42
2016-07-18 19:00:00,45
2016-07-18 18:00:00,85
2016-07-18 17:00:00,85
2016-07-18 16:00:00,53
2016-07-18 15:00:00,54
2016-07-18 14:00:00,43
2016-07-18 13:00:00,60
2016-07-18 12:00:00,74
2016-07-18 11:00:00,66
2016-07-18 10:00:00,54
2016-07-18 09:00:00,48
2016-07-18 08:00:00,44
2016-07-18 07:00:00,40
2016-07-18 06:00:00,35
2016-07-18 05:00:00,48
2016-07-18 04:00:00,70
2016-07-18 03:00:00,79
2016-07-18 02:00:00,68
2016-07-18 01:00:00,40
