date,concentration
2016-07-18 00:00:00,34
2016-07-18 01:00:00,34
2016-07-18 02:00:00,42
2016-07-18 03:00:00,44
2016-07-18 04:00:00,44
2016-07-18 05:00:00,41
2016-07-18 06:00:00,41
2016-07-18 07:00:00,38
2016-07-18 08:00:00,43
2016-07-18 09:00:00,42
2016-07-18 10:00:00,30
2016-07-18 11:00:00,25
2016-07-18 12:00:00,26
2016-07-18 13:00:00,27
2016-07-18 14:00:00,23
2016-07-18 15:00:00,52
2016-07-18 16:00:00,38
2016-07-18 17:00:00,32
2016-07-18 18:00:00,38
2016-07-18 19:00:00,45
2016-07-18 20:00:00,58
2016-07-18 21:00:00,65
2016-07-18 22:00:00,78
2016-07-18 23:00:00,58
