date,concentration
2016-07-19 00:00:00,31
2016-07-18 23:00:00,35
2016-07-18 22:00:00,29
2016-07-18 21:00:00,15
2016-07-18 20:00:00,28
2016-07-18 19:00:00,17
2016-07-18 18:00:00,17
2016-07-18 17:00:00,23
2016-07-18 16:00:00,27
2016-07-18 15:00:00,32
2016-07-18 14:00:00,34
2016-07-18 13:00:00,35
2016-07-18 12:00:00,36
2016-07-18 11:00:00,31
2016-07-18 10:00:00,20
2016-07-18 09:00:00,27
2016-07-18 08:00:00,27
2016-07-18 07:00:00,37
2016-07-18 06:00:00,35
2016-07-18 05:00:00,37
2016-07-18 04:00:00,37
2016-07-18 03:00:00,38
2016-07-18 02:00:00,39
2016-07-18 01:00:00,29
