date,concentration
2016-07-19 00:00:00,28
2016-07-18 23:00:00,40
2016-07-18 22:00:00,38
2016-07-18 21:00:00,40
2016-07-18 20:00:00,58
2016-07-18 19:00:00,30
2016-07-18 18:00:00,-999
2016-07-18 17:00:00,-999
2016-07-18 16:00:00,15
2016-07-18 15:00:00,15
2016-07-18 14:00:00,-999
2016-07-18 13:00:00,48
2016-07-18 12:00:00,60
2016-07-18 11:00:00,57
2016-07-18 10:00:00,73
2016-07-18 09:00:00,59
2016-07-18 08:00:00,58
2016-07-18 07:00:00,103
2016-07-18 06:00:00,90
2016-07-18 05:00:00,52
2016-07-18 04:00:00,97
2016-07-18 03:00:00,107
2016-07-18 02:00:00,33
2016-07-18 01:00:00,116
